legal_name,purpose
F & B Verwaltungs GmbH,"Die Verwaltung von sowie die Beteiligung und die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende Gesellschafterin an der noch in das Handelsregister des Amtsgerichts Mainz einzutragenden Kommanditgesellschaft in Firma Projektgesellschaft An den Römersteinen mbH & Co. KG mit dem Sitz in Mainz."
"Pflegezentrum ""An der Elbe"" GmbH","der Betrieb ambulanter, teilstationärer und stationärer Einrichtungen insbesondere zur Betreuung und Pflege alter und hilfebedürftiger Menschen."
LIMNOS Webservice GmbH,"Redaktionelle, grafische, technische, konzeptionelle Dienstleistungen zum Aufbau, zur Betreuung und zur Weiterentwicklung von Internetangeboten sowie Herstellung und Vermarktung von Produkten und Dienstleistungen für das Internet (und ähnliche Netze)."
bacio Holding GmbH,"Betreiben von gastronomischen Einrichtungen, Diskotheken, Cocktailbars, Eiscafés, Kaffeehäusern sowie die Durchführung von Tanzveranstaltungen, Events und Werbung sowie der Betrieb einer Lounge, und der Internethandel mit Waren des täglichen Bedarfs"
Doldrum Grundstücksverwaltungsgesellschaft mbH,"Der Erwerb von Grundstücken und grundstücksgleichen Rechten, die Errichtung von Gebäuden, die Verwaltung, Vermietung und Verpachtung dieses Grundbesitzes sowie die Vornahme aller für die Erreichung dieses Zweckes erforderlichen Geschäfte."
ZBI Invest 1 AG,"- die kaufmännische Abwicklung der Anschaffung von Immobilien, auch soweit sie nach § 34 GewO i. V. m. Art 11 a MaBV erlaubnispflichtige Tätigkeiten umfasst; - die Projektentwicklung oder Projektleitung von Bauvorhaben auf unbebauten oder bebauten Grundstücken; - die Konzeption von Investionsprojekten sowie die Vorbereitung von Bauvorhaben im eigenen Namen für eigene oder fremde Rechnung; - die Entwicklung oder Begutachtung von Nutzungskonzeptionen für vorhandene oder geplante Immobilien; - die Vermittlung von Grundstücksverträgen oder Grundstücksgeschäften; - der An- und Verkauf von Grundstücken und grundstücksgleichen Rechten; - die Vermittlung und der Nachweis der Gelegenheit zum Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume, Wohnräume oder Darlehen; - die Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene oder fremde Rechnung sowie als wirtschaftlicher Betreuer im fremden Namen für fremde Rechnung; - die Durchführung aller Arten von geschäftlichen Unternehmen in Immobilien."
H P Betonfertigteile und Beratungsgesellschaft mbH,"Die industrielle Fertigung, der Vertrieb und die Montage von Stahlbetonfertigteilen sowie die Fassadenberatung. Ferner hat die Gesellschaft die Beteiligung an anderen Unternehmen mit einem verwandten Unternehmenszweck sowie deren Geschäftsführung unter Übernahme der unbeschränkten Haftung zum Gegenstand."
PfaBaCon GmbH,"Gegenstand geändert; nun: Die Unternehmensberatung, überwiegend im Bankensektor."
ACD GmbH,"Die architektonische Planung lt. HOAI für Architekten und Tragwerksplaner Phasen 1 - 9, die Bauüberwachung, die Beratung und Dienstleistung für Bauunternehmen in bauplanerischen, ausführenden und betriebswirtschaftlichen Angelegenheiten. Das Design und der Verkauf von Einrichtungsgegenständen, die Entwicklung von Fassaden-, Innenwand- und Floorfinishing, der Handel mit Baumaterialien, Einrichtungsgegenständen und Designs, die Publizierung von Architektur- und Designkatalogen."
Hammes Industrial Engeniering Consulting GmbH,erlaubnisfreie Wirtschafts- und Unternehmensberatung. insbesondere im industriellen Bereich.
C + H Immobilien GmbH,"Vermittlung des Abschlusses und des Nachweises der Gelegenheit zum Abschluss von Verträgen über Grundstücke, grundstücksgleiche Rechte, Wohnräume und gewerbliche Räume sowie deren Ankauf und Verkauf"
DG Ventures Trust GmbH,"Erwerb, Halten, Verwalten und Verwerten von Beteiligungen und Vermögensanlagen aller Art, ausschließlich im eigenen Namen und auf eigene Rechnung sowie als Treuhänder, sowie damit verbundene Geschäfte, soweit hierfür keine behördliche Genehmigung erforderlich ist."
Performance Bremen GmbH,"Der Verkehr mit Taxen, Kurierfahrten, die Durchführung sonstiger genehmigungsfreier Dienstleistungen sowie der Handel mit Baustoffen und anderen Rohstoffen, Elektrowaren und Kraftfahrzeugen."
akquinet tech@spree GmbH,"Softwareentwicklung, Softwarearchitektur-Beratung, Bau und Vertrieb von Software-Rahmenwerken und Software-Komponenten und alle in diesem Zusammenhang anfallenden Geschäfte."
BRAMMER GmbH,Gegenstand geändert; nun: der Handel mit technischen und industriellen Produkten sowie die Erbringung der damit in Zusammenhang stehenden Dienstleistungen für den industriellen Bereich.
"""das WTS-Studentenreisebüro GmbH""","Veranstaltung und Vermittlung von Reisen aller Art, die Beschaffung und Vermittlung von Beförderungsausweisen, Reiseversicherungen und anderen Reiseunterlagen sowie der Handel mit Kultur- und Kunstgegenständen"
Reha Sonderbau Richard Bee GmbH,"der Erwerb und die Verwaltung von Beteiligungen, hier insbesondere die Beteiligung als Komplementärin an der Reha Sonderbau Richard Bee Kooperation GmbH & Co. KG."
ebs-Tessin Ernst Borßim & Söhne Bau GmbH,"Ausführung von Kabel-, Rohrleitungs- und Straßenbauarbeiten einschließlich Hochbau"
Czubayko - Lehmann GmbH,Der Veranstaltungsservice (Marktbetreuung) und die Vermietung von Bühnentechnik.
EUROTRINK Getränkevertrieb Pfeifer GmbH,"Groß- und Einzelhandel mit Getränken, Betrieb von Getränkefachmärkten einschließlich Verleih von Festmobiliar."
Erdl Druck Medienhaus GmbH,Druckerei und die Erbringung von Dienstleistungen aller Art im Bereich der (auch elektronischen) Medien
MTS Marketing Travel Service GmbH,die Vermittlung von Reisen und Hotelleistungen
S & B Sanierungs- und Bauunternehmens GmbH,Erstellung und Sanierung von Baukörpern jedweder Art.
Sentürk Holding GmbH,"der Erwerb, das Halten, die Verwaltung und die Veräußerung von Beteiligungen an Unternehmen und von Immobilien im eigenen Vermögen."
HLD Hansa Logistik und Distribution GmbH,"Umschlag, Distribution, Lagerung, Vermietung, Spedition und Vermittlung von Seefrachten."
Diedemann Steuerberatungsgesellschaft mbH,die für Steuerberatungsgesellschaften gesetzlich und berufsrechtlich zulässigen Tätigkeiten gemäß § 33 i.V. mit § 57 Abs. 3 StBerG; insbesondere die geschäftsmäßige Beratung und die gutachtliche und treuhänderische Tätigkeit. Handels- und Bankgeschäfte sowie gewerbliche Tätigkeiten sind ausgeschlossen.
"Bloody Amazing Tattoo, Piercing & Fashion Store UG (haftungsbeschränkt)","Tätowierungen, Piercings, Verkauf von Textilien, Schmuck, Dekoartikeln, Tattoound Piercingzubehör."
TGB TechnoGrundbau GmbH,"Spezialtiefbau. Die Gesellschaft ist berechtigt, sich an anderen Unternehmen gleichen oder ähnlichen Gegenstandes in beliebiger Rechtsform zu beteiligen."
Büro Recycling Produkte Haberl GmbH,"Vertrieb und Handel von Büroartikeln aller Art, insbesondere wiederverwertbaren."
SUTEC Service GmbH,"Vertrieb sowie die Montage und der Service von Erzeugnissen der Schmiertechnik, namentlich von Zentralschmiertechnik für Fahrzeuge und Industrieanlagen."
Wolfgang Holding UG (haftungsbeschränkt),"Der Erwerb, die Verwaltung und die Verwertung von Beteiligungen an anderen Unternehmen im eigenen Namen, auf eigene Rechnung und nicht für Dritte sowie die Erbringung von Dienstleistungen und Beratungen für diese Beteiligungsgesellschaften."
Obotritia Hotel Grundstücksverwaltungsgesellschaft mbH,"Der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Personenhandelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin (Komplementärin)."
LPD Lukas Personaldienstleistungen GmbH,Gewerbemäßige Überlassung von Arbeitnehmern zur Arbeitsleistung als Verleiher an Dritte.
GeoSolar Service GmbH,"Projektentwicklung, Projektplanung, Handel, Handelsvertretung, Vermittlung von Bauaufträgen, Kundendienst und Marketing für Energieanlagen und haustechnische Anlagen, Baustellenberäumung, die Vermietung von beweglichem Werbeequipment sowie sämtliche damit zusammenhängende und den Gesellschaftszweck fördernden Geschäfte unter der Marke GeoSolar"
Walther Gastronomiebetriebsgesellschaft mbH,Betrieb von Gastronomieunternehmen
LEP Holdings GmbH,der Erwerb von Unternehmen oder von Beteiligungen an Unternehmen sowie anderer Vermögensgegenstände und deren Verwaltung.
Sagittarius Capital UG (haftungsbeschränkt),"die Verwaltung des eigenen Vermögens, der Erwerb und das Halten und Verwalten von Unternehmensbeteiligungen und Wertpapieren"
J.B. Gerüstbau GmbH,Ausführung von Gerüstbauarbeiten.
Hallmann Hamburg GmbH,"der Betrieb eines oder mehrerer Augenoptikfachgeschäfte, ferner die Herstellung, der Verkauf und Handel von bzw. mit optischen Sehhilfen und branchenüblichen Gegenständen sowie die Vermittlung von Fotoarbeiten aller Art einschließlich aller damit verbundener Nebengeschäfte mit Ausnahme erlaubnispflichtiger Dienstleistungen und Waren."
Schalk GmbH,"Beratung, Schulung, Installation (Montage) sowie der Handel und Vertrieb insbesondere im Bereich Maschinen- und Anlagenbau sowie Elektrotechnik"
CS Diagnostics GmbH,"Vertrieb von Arzneimitteln, Nahrungsergänzungsmitteln und sonstigen medizinischen und pharmazeutischen Produkten"
PM Schenk Unternehmensberatung GmbH,"Beratung von Unternehmen in den Bereichen Management, Prozessoptimierung und -steuerung, sowie Coaching bei der Implementierung/Umsetzung von Konzepten. Ferner Projektmanagement und Interimsmanagement für Unternehmen."
art of catering GmbH,die Fachberatung im Bereich des Ernährungscoachings und im Bereich der Catering- und Veranstaltungsplanung als Mitarbeiter für Events und Messen.
Sportswear Connection GmbH,Handel mit Textilien.
Heinz Bierfreund - Sonnenschutz AG,"der Einzel- und Großhandel mit sowie die Montage, Reparatur und Wartung von Sonnenschutzanlagen, Toren und Bedachungen."
Haus und Grundstücksverwaltung Adelsberg GmbH,"Verwaltung von Grundstücken verbunden mit Serviceleistungen für Haus und Grundstück. Besitz, Erwerb, Vermietung, Verpachtung und Verkauf von Grundstücken, Gebäuden und grundstücksgleichen Rechten sowie Makler-, Baubetreuungs- und Bauträgertätigkeit einschließlich kompletter Abwicklung gemäß § 34 c GewO (auch Auslandsgeschäfte) sowie die Vermittlung von Kapitalanlagen, Finanz- und Wirtschaftsberatung im eigenen und fremdem Namen."
Doll-Bandtechnik GmbH,"Service und Betreuung der industriellen Bandtechnik, insbesondere Austausch und Klebung von Transportbändern."
IPP Germany GmbH,Montage von neuen Industrieanlagen sowie der Ankauf und der Verkauf von neuen und gebrauchten Industrieanlagen.
Reckert GmbH,"Vertretung und Geschäftsführung der ""Reckert GmbH u. Co MSV Möbelsupermarkt KG"" in Vellmar als deren persönlich haftende Gesellschafterin."
FS Financial Services Ltd.,Beratung von Unternehmen (ohne Rechtsund Steuerberatung).
Fahrschule Fahrspass GmbH,"die Erbringung von Leistungen im Zusammenhang mit dem Fahren und Führen von Kraftfahrzeugen, der Erlangung von Fahrerlaubnissen und Führerscheinen. Insbesondere beinhaltet dies die Vermittlung der theoretischen und praktischen Fähigkeiten, die die Grundlage für das Erlangen der Fahrerlaubnis bilden sowie Nachschulungen, Schulungen anderer Art, Fort- und Weiterbildungen, die im Zusammenhang mit dem Führen und Fahren von Kraftfahrzeugen, dem Führerschein, der Fahrerlaubnis stehen sowie die Entwicklung und Durchführung von Franchise-Modellen und die Beratung von anderen Fahrschulen."
AUCOBE UG (haftungsbeschränkt),Der Vertrieb von Gütern mit Schwerpunkt Vending (Selbstbedienungsautomaten) sowie allgemeine Unternehmensberatung.
Biogas Penzlin Verwaltungs GmbH,"Beteiligung sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende Gesellschafterin an Projekt- und Betriebsgesellschaften im Bereich Biosmasseanlagen zur Energieerzeugung."
NBL Gebäudeservice- und Dienstleistungs GmbH,"die Erbringung von Service- und Dienstleistungen jeglicher Art des Gebäudereinigungshandwerkes für Unternehmen, Institutionen und Einzelpersonen inklusive Nebenarbeiten, die Beratung von Dritten im Service- und Managementbereich, der Betrieb von Reinigungsgesellschaften und Reinigungsgeschäften für eigene Rechnung oder im Lizenz-Verfahren, oder die Beteiligung an betreffenden Unternehmen sowie die Durchführung von Handelsgeschäften, welche sich aus den vorerwähnten Aktivitäten der Gesellschaft ergeben; das Unternehmen erbringt weiterhin sämtliche Tiefund Straßenbauarbeiten; Vorbereitung und Durchführung sämtlicher Estricharbeiten, Fußbodenarbeiten; Herstellung von Beschichtungsarbeiten sowie sonstige Fuß- bodenbeläge wie Teppichböden und PVC-Böden aller Beanspruchungsgruppen; unternehmensbezogene Service-Leistungen; Handel mit Erzeugnissen der Fußbodendekorations- und Baubranche; Einsammeln und Befördern von Abfällen"
DAT Dräxlmaier Automotivtechnik GmbH,"Entwicklung, Herstellung, Montage und Vertrieb von Systemen und Bauteilen für die Automobilindustrie."
Werksarztzentrum Deutschland GmbH,"Die Erbringung arbeitsmedizinischer und sicherheitstechnischer Leistungen für Unternehmen, Betriebe und Köperschaften aller Art. Der Aufgabenbereich erfasst die Bereitstellung und Durchführung aller betriebsärtzlichen und sicherheitstechnischen Dienste, die nach den einschlägigen Bestimmungen auf dem Gebiet der Arbeitssicherheit und des Arbeitsschutzes vorgeschrieben sind. Aufgabe ist ferner, die arbeitsmedizinische und sicherheitstechnische Beratung und Mitarbeit bei der Planung von Büro- und Betriebsgebäuden, der Entwicklung von Einrichtungen für diese und der Darstellung arbeitsmedizinischer und sicherheitstechnischer Grundsätze bei der Büro- und Betriebsorganisation durch Veröffentlichungen, Vorträge und Schulungsveranstaltungen."
German Automotive Parts GmbH,"(1) Gegenstand des Unternehmens der Gesellschaft ist, soweit es dazu keiner besonderen behördlichen Erlaubnis bedarf, . der inländische und der grenzüberschreitende Handel mit Waren aller Art, . insbesondere solcher Handel mit Kraftfahrzeugen, Ersatzteilen und Zubehör für Kraftfahrzeuge sowie mit Ausrüstungsgegenständen für Kraftfahrzeugwerkstätten."
Hermann Binder GmbH,"Der Betrieb eines Bauunternehmens, Baustoffhandels und Planungsbüros."
Solarbonus GmbH,"Handel mit und Einbau von Solaranlagen, Im- und Export, Einzel- und Großhandel mit Waren aller Art, insbesondere Haushaltsund Elektrowaren, mit Ausnahme erlaubnispflichtiger Waren, Vermittlung von Waren und Bauaufträgen sowie die Vermittlung von Immobilien und Grundstücken in Deutschland und dem EU- Ausland."
Effective Media ´Agentur für Medienberatung´ GmbH,"ist die Entwicklung, Planung und Realisation von Software sowie die Lokalisierung, der Vertrieb und das Marketing dieser. Die Gesellschaft darf alle Geschäfte betreiben, die dem Gesellschaftszweck unmittelbar oder mittelbar zu dienen geeignet sind. Sie kann sich insbesondere an anderen Unternehmen, auch wenn sie einen anderen Unternehmensgegenstand haben, beteiligen, sie erwerben, die Geschäftsführung für solche Unternehmen übernehmen sowie Zweigniederlassungen errichten."
C O M 1 Gesellschaft für technische Computeranwendungen mbH,"Gegenstand des Unternehmens ist die Erstellung und der Vertrieb von EDV- Komplettlösungen im Bereich technischer Anwendungen (z.B. CAD, CAD-CAM, CAE, Kommunikation, Meß- und Regelungstechnik, Produktionskontrolle) und unterstützende Dienstleistungen, darüber hinaus die Förderung des Technologie-Transfers zu Hochschulen."
Bellavita GmbH,Der Gegenstand des Unternehmens ist der Betrieb eines Restaurants.
willy.tel GmbH,"die Planung, die Errichtung, das Betreiben und die Repatatur von Antennen-, Satellitenempfangs-, Kabel- und Schwachstromanlagen, Telekommunikations- und Sicherheitsanlagen sowie der Handel, die Vermietung und die Reparatur von Radiound Fernsehgeräten, EDV- und telekommunikationsartikeln sowie der Handel mit Telekommunikationsdienstleistungen und Energie."
MediSalesPlus GmbH,"Der Gegenstand des Unternehmens ist die auftragsgemäße Bereitstellung von freiberuflichen Außendienstmitarbeitern, insbesondere Pharmareferenten und medizinischem Pflegepersonal, einerseits zum Vertrieb von elektrischen Abrechnungs- und Kartenterminals, Nahrungsergänzungsmitteln, medizinischen Lifestyle-Produkten, verschreibungsfreien Arzneimitteln, Impfstoffen und Dermo- Kosmetika an sämtliche medizinischen Heilberufe, wie Ärzte, Zahnärzte, Veterinäre und Heilpraktiker sowie an Krankenhäuser und Kliniken und andererseits zur Erbringung von Pflegedienstleistungen."
